text,label
The notes were incredibly clear and well organized,positive
Amazing app saved me hours of studying,positive
The quiz questions perfectly matched the lecture content,positive
Voice summary sounded natural and was easy to listen to,positive
I love how fast it processed my hour long video,positive
Best study tool I have used this semester,positive
The bullet points made revision so much easier,positive
Highly recommend this to every student preparing for exams,positive
Great work the audio quality is excellent,positive
The notes captured every important concept from the lecture,positive
Super helpful and very intuitive interface,positive
Excellent summary feature it really works,positive
The quiz helped me identify my weak areas immediately,positive
Outstanding accuracy in the generated notes,positive
This app is a game changer for cramming before exams,positive
Loved the structured format of the notes,positive
The transcription was almost perfect,positive
Wonderful experience from upload to results,positive
The voice is so clear and pleasant to hear,positive
Quick reliable and accurate I am impressed,positive
Best decision to use this before my finals,positive
The headings and subpoints are organized beautifully,positive
Fantastic tool for last minute revision,positive
The MCQs were challenging in a good way,positive
I scored higher because of these notes,positive
This is exactly what students need,positive
Brilliant feature set everything works smoothly,positive
The PDF export looks professional,positive
Easy to download and share with classmates,positive
The AI understood my lecture content perfectly,positive
Smooth UI and the results came out fast,positive
The explanations after each quiz answer are very helpful,positive
Loved the dark mode it looks clean,positive
A real time saver for busy students,positive
The summaries are concise and on point,positive
Top notch performance and accuracy,positive
The audio summary helped me revise during my commute,positive
Excellent breakdown of complex topics,positive
This tool gave me confidence before the exam,positive
Really impressive AI generated notes,positive
Loved the simplicity and effectiveness,positive
The quiz feature is genuinely useful,positive
The notes feel like they were written by a top student,positive
Perfect for quick revision sessions,positive
The transcription accuracy is remarkable,positive
A must have tool for every college student,positive
The voice summary sounds very human,positive
I am very satisfied with the quality,positive
Saved me from failing my midterm honestly,positive
Beautiful design and helpful output,positive
The processing speed exceeded my expectations,positive
Such a useful study companion,positive
The output covers every key concept,positive
The notes are crisp and easy to memorize,positive
Cool product really enjoyed using it,positive
Great UI and even better results,positive
The summary captured the lecture essence well,positive
This app helped me ace my viva,positive
Splendid work by the developers,positive
The interface is so user friendly,positive
Loved the way concepts are explained step by step,positive
Honestly the best cramming tool out there,positive
Perfect tool for engineering students,positive
The quiz is well designed and balanced,positive
Pleasantly surprised by the accuracy,positive
The voice summary feels professional,positive
This app is going viral in my college,positive
I will definitely use this again,positive
Smart fast and very effective,positive
The notes captured even the small details,positive
Great job team this is fantastic,positive
The interactive quiz feature is genuinely fun,positive
Audio playback is super clear,positive
The summary helped me before my presentation,positive
Loved it cannot wait for new features,positive
Helpful for both revision and learning,positive
The output exceeded my expectations,positive
Very polished and well thought out app,positive
The MCQ explanations are gold,positive
Smooth performance no lag at all,positive
Notes were comprehensive yet concise,positive
The features work exactly as advertised,positive
This is a brilliant idea executed well,positive
Got me through finals week thank you,positive
The note generation is mind blowing,positive
Quiz questions were challenging and fair,positive
Voice summary is a unique and useful feature,positive
Loved the export options for PDF,positive
The progress bar made it feel responsive,positive
Notes are clean and beginner friendly,positive
Audio quality is studio level,positive
Such a thoughtful useful tool,positive
This is the future of student studying,positive
Loved every minute of using this,positive
Highly accurate and very helpful,positive
The quiz was perfectly tailored to the lecture,positive
The notes were a lifesaver,positive
Easy upload smooth processing great output,positive
Five stars for this awesome app,positive
The voice option helps me multitask while studying,positive
Notes captured every example from the lecture,positive
Genuinely impressive AI work here,positive
Highly recommended for last minute prep,positive
The app worked but the notes felt a bit shallow,neutral
Decent output but nothing extraordinary,neutral
The summary is okay covers basics only,neutral
Functional but could use more features,neutral
It is alright I expected better detail,neutral
Works as described nothing more,neutral
The notes were average could be better,neutral
Audio is fine but a bit robotic,neutral
The interface is acceptable but plain,neutral
Quiz was okay some questions felt random,neutral
Notes are passable for a quick glance,neutral
Average performance overall,neutral
The output is decent for free version,neutral
Voice is okay nothing special,neutral
Quiz questions are mid level difficulty,neutral
Works but takes a while to process,neutral
The notes are basic but cover main points,neutral
Output is acceptable for revision,neutral
The summary missed a few minor concepts,neutral
It is functional for student use,neutral
The quiz is alright not very challenging,neutral
Notes generated were okay readable,neutral
The app runs fine on my laptop,neutral
Quality is alright nothing groundbreaking,neutral
The audio summary works but feels long,neutral
Notes are average quality,neutral
The platform is usable,neutral
Decent for basic studying needs,neutral
Output is mediocre but acceptable,neutral
The quiz feature is okay needs improvement,neutral
The notes have headings but lack depth,neutral
Voice summary is somewhat helpful,neutral
The app is okay nothing fancy,neutral
It works but I had to clean up the notes manually,neutral
Mediocre output but it gets the job done,neutral
The summary is short and basic,neutral
Average tool no strong opinion,neutral
Notes were okay covered the main idea,neutral
Just an average study app,neutral
The UI is plain but works,neutral
The output quality varies by video,neutral
Quiz questions are okay not amazing,neutral
The notes are simple but usable,neutral
Decent first version of the app,neutral
The audio feels a bit slow at times,neutral
Acceptable for a free study tool,neutral
It does the job nothing more,neutral
Output is okay needs polish,neutral
Notes structure is fine but plain,neutral
The voice is understandable but lacks emotion,neutral
Quiz is balanced but predictable,neutral
The summary covers basics well,neutral
The app is decent for short videos,neutral
Notes feel generic in places,neutral
Output looks okay but feels rushed,neutral
The quiz length is short maybe add more questions,neutral
Voice summary is functional and clear enough,neutral
The notes are okay but lack examples,neutral
Performance is acceptable on my machine,neutral
Works decently for English lectures,neutral
Just an okay tool for quick revision,neutral
The app handled my video fine,neutral
Notes are usable but not stunning,neutral
The quiz could include more variety,neutral
Voice quality is average,neutral
The notes export is okay,neutral
The MCQs are decent but easy,neutral
This is a decent first attempt,neutral
The summaries lack technical depth,neutral
It is fine for basic note taking,neutral
The quiz is functional but generic,neutral
Notes were neither bad nor great,neutral
The processing time is acceptable,neutral
Audio is okay but I prefer reading,neutral
The notes are good enough to revise from,neutral
Output structure is plain and simple,neutral
Nothing remarkable but works fine,neutral
Quiz could be deeper but it is okay,neutral
Notes are average for an AI tool,neutral
The interface needs more polish,neutral
Decent but not memorable,neutral
The quiz is okay for self testing,neutral
Notes touched the main points only,neutral
The summary is mid quality,neutral
Voice is fine for the price,neutral
Functional app no major issues,neutral
The output is sometimes useful,neutral
Works but the notes need editing,neutral
Notes lack visual aids but text is okay,neutral
The app is so so for now,neutral
Quiz is alright for revision,neutral
The summary is plain text style,neutral
Audio is okay during commute,neutral
Notes are short but readable,neutral
The output is moderate quality,neutral
Just average tool overall,neutral
It is alright for a study app,neutral
Notes generation is okay,neutral
The quiz had a couple of weird questions,neutral
Decent UI nothing flashy,neutral
The summary captures the main idea but skips details,neutral
Acceptable accuracy in transcription,neutral
The notes are fine for quick review,neutral
Average quality across features,neutral
The audio loads slowly sometimes,neutral
Works on most videos but quality varies,neutral
Quiz is okay for self assessment,neutral
Notes are usable not impressive,neutral
The summary is mediocre at best,neutral
Output is okay but I had to verify with the lecture,neutral
The notes were totally inaccurate and useless,negative
Voice summary sounded robotic and unnatural,negative
The quiz questions had nothing to do with the lecture,negative
This app wasted my time before exam,negative
Bad output completely missed key concepts,negative
Worst study tool I have used,negative
The notes were poorly organized and confusing,negative
Quiz answers were wrong in many places,negative
The audio was choppy and unclear,negative
Disappointing experience overall,negative
The notes felt like random sentences glued together,negative
Terrible accuracy in transcription,negative
The app crashed during processing,negative
The voice summary was painful to listen to,negative
Notes were missing half the lecture content,negative
Quiz was full of grammatical errors,negative
The output was a mess unusable,negative
This tool is not ready for production,negative
Worst quiz feature ever,negative
The notes are useless for serious study,negative
The processing took forever and failed,negative
Voice quality is awful and monotonous,negative
The MCQs made no sense at all,negative
Notes lacked any structure,negative
This app is buggy and frustrating,negative
The summary missed the main lecture topic,negative
The audio file would not download,negative
Quiz answers were straight up incorrect,negative
The interface is clunky and confusing,negative
Notes were too short and missed everything important,negative
The voice sounds like a broken robot,negative
Completely waste of time and storage,negative
The transcription was full of nonsense,negative
The output quality is unacceptable,negative
This tool failed to deliver basic functionality,negative
Quiz had wrong answers marked as correct,negative
Useless app for actual studying,negative
The notes had no headings or structure,negative
Voice summary cut off halfway,negative
The processing crashed three times,negative
I hated using this app,negative
